0x00000020: Kuke
0x00000064: '
0x00000068: '
0x000010d5: 𡑮
0x000010d9: 闗
0x000010dd: Last
0x00001101: Heat
0x00001105: 閠
0x00001109: Memories
0x0000110d: 舙
0x00001119: 萑
0x00001171: Heat
0x0000117d: spoon
0x00001198: 關
0x000011b7: Total
0x000011c0: Bamboo
0x000011c8: Bamboo
0x00001218: Initial
0x00001230: 櫫
0x0000124c: 裊
0x0000125c: Initial
0x00001288: Cough
0x0000128d: Qin
0x000012a6: ．
0x000012e0: Mika
0x0000132a: ．
0x00001333: Rent
0x0000133f: Shen
0x0000134a:
0x0000134e: "
0x00001356:
0x0000135a: Ah
0x00001366: ･」
0x0000136a: "
0x0000139a: " "
0x000013ae: "Uh
0x000013b2: "
0x000013b6:
0x000013be: ｣
0x000013e1: <week
0x000013ed: ＜
0x00001401: 翲
0x0000140d: ≠
0x00001417: Chota
0x00001435: Yu
0x00001485: Yu
0x0000149c: Cool
0x000014ac: Ikike Mika
0x000014c2: tsyo
0x000014c9: <station
0x0000151a: ｰﾟ
0x00001542: ｰﾟ
0x00001571: Roasted
0x00001581:
0x0000159d: ≠
0x000015ef: ⓛ
0x00001633: ⓕ
0x0000165f: Yoli
0x00001679: ≠Semi
0x00001682: ．
0x0000168b: quarrel
0x00001691: ≠
0x000016cc: Cough
0x0000175d: 咩
0x0000178e: 爨
0x0000179e: t
0x000017b6: ",
0x000017c6: t
0x000017e9: ÷
0x00001809: ≠
0x00001818: 㝢Ξ
0x00001821: ≠
0x0000183f:
0x00001843: Call
0x0000184d: ≠
0x0000186b: Call
0x00001871: ＜
0x0000187a: ｰﾟ
0x0000187e: A
0x00001882: Yes
0x00001886: Ugh
0x0000188a: Eh
0x0000188e: O
0x00001892:
0x000018b3: To
0x000018b7: ahhh
0x000018bb:
0x000018f2: ↗
0x000018fb: To
0x0000190a: ↗
0x0000192f: 莅
0x00001944: Wa
0x00001964: Cool
0x0000196e: YES
0x00001af8: 璦
0x00001b0e: Ah
0x00001b12: See
0x00001b22: Kya
0x00001b26: Kaa
0x00001b2a: Oh
0x00001b68: 璦
0x00001b80: 矬
0x00001b96: ｰﾟﾘ
0x00001b9a: A
0x00001b9e: Yes
0x00001ba2: Ugh
