0x20: Kuke
0x64: Q
0x68: ku
0x1218: Ini
0x125c: Ini
0x1288: Cough
0x12e0: Mika
0x134a :
0x134e: "
0x1356 :
0x135a: Ah
0x1366: ･」
0x136a :
0x139a: " "
0x13ae: "Uh
0x13b2: "
0x13b6 :
0x13be: ｣
0x13e1: <week
0x140d: ≠
0x1417: Chota
0x149c: Cool
0x14ac: Ike Mika
0x14c2 :
0x14c9: <sign
0x151a:ｰﾟ
0x1542: -
0x1581 :
0x165f :
0x1679: ≠ Semi
0x1691: ≠
0x16cc: Cough
0x17b6: ",
0x17e9: ÷
0x1818:㝢Ξ
0x1821: ≠
0x183f :
0x184d: ≠
0x1871: ＜
0x187a: -ﾟ
0x187e: A
0x1882: Yes
0x1886: Uh
0x188a: Eh
0x188e: O
0x1892 :
0x18b3: To
0x18b7 :
0x18bb :
0x18fb: To
0x1944: Wa
0x1964 : Stylish
0x196e :
0x1b0e: Ah
0x1b12 :
0x1b22: Kya
0x1b26: Kaa
0x1b2a: Oh
0x1b96 :
0x1b9a: A
0x1b9e :
0x1ba2: Uh
0x1ba6: E
0x1baa: O
0x1bae: K
0x1bb2: K
0x1bb6 :
0x1bba :
0x1bd8: Hey!
0x1c02: E
0x1c19 : ≧
0x1c1d : ≦
0x1c41: ＞Quasi
0x1c5b: Daio
0x1d16: A
0x1d26: Yes
0x1d2a: -ﾟ
0x1d2e :
0x1d32: N
0x1d96 :
0x1d9a: ökuka
0x1daa :
0x1df7 :
0x1e27 :
0x1e36: -ﾟ
0x1e67 :
0x1e97 :
0x1ea2: -ﾟ
0x1ea6 :
0x1f06 :
0x1fe6 :
0x20de :
0x21b2 :
0x21be: Tsha
0x2282 :
0x228e :
0x231a :
0x2326 :
0x23da :
0x23e6: Tsha
0x247a :
0x2486 :
0x2522 :
0x252e: Tsha
0x25e2 :
0x25ee: Tsha
0x26b2 :
0x26be: Tsha
0x2782 :
0x278e :
0x286a :
0x2876 :
0x28fa :
0x2906 :
0x2992 :
0x299e :
0x2a22 :
0x2a2e: Tsha
0x2aaa :
0x2ab6 :
0x2b4a :
0x2b56 :
0x2bde :
0x2c32 :
0x2c3e: Tsha
0x2d52: Ah
0x2d72: "
0x2d7a: Yes
0x2d7e: ､
0x2d99 :
0x2daa: ･ｯ
0x2e3e: ｣
0x2e4a :
0x2e6e :
0x2e7e: "
0x2eba :
0x2eea: "Ah
0x2eee: Ah
0x2ef6: Ahh
0x2f16: Ah
0x2f22: "
0x2f3a: "Ah
0x2f46 :
0x2f66: Ah
0x2f76 :
0x2f7e: "
0x2fb6: "
0x2fba: " "
0x2fc6: Ah」
0x2fca :
0x2fce: "
0x2fd2 :
0x2fda: Sea
0x2ffa :
