 	0x09	# <doublebytes>
 	0x10	# <doublebytes>
 	0x11	# <doublebytes>
 	0x12	# <doublebytes>
 	0x13	# <doublebytes>
↕	0x0901	U+2195	# UP DOWN ARROW
↖	0x0902	U+2196	# NORTH WEST ARROW
↗	0x0903	U+2197	# NORTH EAST ARROW
↘	0x0904	U+2198	# SOUTH EAST ARROW
↙	0x0905	U+2199	# SOUTH WEST ARROW
⌚	0x0906	U+231A	# WATCH
⌛	0x0907	U+231B	# HOURGLASS
⌨	0x0908	U+2328	# KEYBOARD
⏱	0x0909	U+23F1	# STOPWATCH
⏳	0x090a	U+23F3	# HOURGLASS WITH FLOWING SAND
⏸	0x090b	U+23F8	# DOUBLE VERTICAL BAR
☀	0x090c	U+2600	# BLACK SUN WITH RAYS
☁	0x090d	U+2601	# CLOUD
☂	0x090e	U+2602	# UMBRELLA
☃	0x090f	U+2603	# SNOWMAN
☄	0x0910	U+2604	# COMET
☎	0x0911	U+260E	# BLACK TELEPHONE
☑	0x0912	U+2611	# BALLOT BOX WITH CHECK
☔	0x0913	U+2614	# UMBRELLA WITH RAIN DROPS
☕	0x0914	U+2615	# HOT BEVERAGE
☘	0x0915	U+2618	# SHAMROCK
☠	0x0916	U+2620	# SKULL AND CROSSBONES
☦	0x0917	U+2626	# ORTHODOX CROSS
☪	0x0918	U+262A	# STAR AND CRESCENT
☯	0x0919	U+262F	# YIN YANG
☸	0x091a	U+2638	# WHEEL OF DHARMA
☹	0x091b	U+2639	# WHITE FROWNING FACE
☺	0x091c	U+263A	# WHITE SMILING FACE
♈	0x091d	U+2648	# ARIES
♉	0x091e	U+2649	# TAURUS
♊	0x091f	U+264A	# GEMINI
♋	0x0920	U+264B	# CANCER
♌	0x0921	U+264C	# LEO
♍	0x0922	U+264D	# VIRGO
♎	0x0923	U+264E	# LIBRA
♏	0x0924	U+264F	# SCORPIUS
♐	0x0925	U+2650	# SAGITTARIUS
♑	0x0926	U+2651	# CAPRICORN
♒	0x0927	U+2652	# AQUARIUS
♓	0x0928	U+2653	# PISCES
♟	0x0929	U+265F	# BLACK CHESS PAWN
♠	0x092a	U+2660	# BLACK SPADE SUIT
♣	0x092b	U+2663	# BLACK CLUB SUIT
♥	0x092c	U+2665	# BLACK HEART SUIT
♦	0x092d	U+2666	# BLACK DIAMOND SUIT
♨	0x092e	U+2668	# HOT SPRINGS
⚒	0x092f	U+2692	# HAMMER AND PICK
⚓	0x0930	U+2693	# ANCHOR
⚔	0x0931	U+2694	# CROSSED SWORDS
⚕	0x0932	U+2695	# STAFF OF AESCULAPIUS
⚖	0x0933	U+2696	# SCALES
⚗	0x0934	U+2697	# ALEMBIC
⚙	0x0935	U+2699	# GEAR
⚜	0x0936	U+269C	# FLEUR-DE-LIS
⚰	0x0937	U+26B0	# COFFIN
⚱	0x0938	U+26B1	# FUNERAL URN
⚽	0x0939	U+26BD	# SOCCER BALL
⚾	0x093a	U+26BE	# BASEBALL
⛄	0x093b	U+26C4	# SNOWMAN WITHOUT SNOW
⛅	0x093c	U+26C5	# SUN BEHIND CLOUD
⛈	0x093d	U+26C8	# THUNDER CLOUD AND RAIN
⛎	0x093e	U+26CE	# OPHIUCHUS
⛏	0x093f	U+26CF	# PICK
⛑	0x0940	U+26D1	# HELMET WITH WHITE CROSS
⛓	0x0941	U+26D3	# CHAINS
⛔	0x0942	U+26D4	# NO ENTRY
⛩	0x0943	U+26E9	# SHINTO SHRINE
⛪	0x0944	U+26EA	# CHURCH
⛰	0x0945	U+26F0	# MOUNTAIN
⛱	0x0946	U+26F1	# UMBRELLA ON GROUND
⛲	0x0947	U+26F2	# FOUNTAIN
⛳	0x0948	U+26F3	# FLAG IN HOLE
⛴	0x0949	U+26F4	# FERRY
⛵	0x094a	U+26F5	# SAILBOAT
⛷	0x094b	U+26F7	# SKIER
⛸	0x094c	U+26F8	# ICE SKATE
⛹	0x094d	U+26F9	# PERSON WITH BALL
⛺	0x094e	U+26FA	# TENT
⛽	0x094f	U+26FD	# FUEL PUMP
✂	0x0950	U+2702	# BLACK SCISSORS
✈	0x0951	U+2708	# AIRPLANE
✉	0x0952	U+2709	# ENVELOPE
✊	0x0953	U+270A	# RAISED FIST
✏	0x0954	U+270F	# PENCIL
✒	0x0955	U+2712	# BLACK NIB
✖	0x0956	U+2716	# HEAVY MULTIPLICATION X
✝	0x0957	U+271D	# LATIN CROSS
✡	0x0958	U+2721	# STAR OF DAVID
✨	0x0959	U+2728	# SPARKLES
✳	0x095a	U+2733	# EIGHT SPOKED ASTERISK
❄	0x095b	U+2744	# SNOWFLAKE
❇	0x095c	U+2747	# SPARKLE
❤	0x095d	U+2764	# HEAVY BLACK HEART
➰	0x095e	U+27B0	# CURLY LOOP
➿	0x095f	U+27BF	# DOUBLE CURLY LOOP
⬆	0x0960	U+2B06	# UPWARDS BLACK ARROW
⬇	0x0961	U+2B07	# DOWNWARDS BLACK ARROW
⭐	0x0962	U+2B50	# WHITE MEDIUM STAR
〰	0x0963	U+3030	# WAVY DASH
🀄	0x0964	U+1F004	# MAHJONG TILE RED DRAGON
🃏	0x0965	U+1F0CF	# PLAYING CARD BLACK JOKER
🌀	0x0966	U+1F300	# CYCLONE
🌁	0x0967	U+1F301	# FOGGY
🌂	0x0968	U+1F302	# CLOSED UMBRELLA
🌃	0x0969	U+1F303	# NIGHT WITH STARS
🌄	0x096a	U+1F304	# SUNRISE OVER MOUNTAINS
🌅	0x096b	U+1F305	# SUNRISE
🌆	0x096c	U+1F306	# CITYSCAPE AT DUSK
🌇	0x096d	U+1F307	# SUNSET OVER BUILDINGS
🌈	0x096e	U+1F308	# RAINBOW
🌉	0x096f	U+1F309	# BRIDGE AT NIGHT
🌊	0x0970	U+1F30A	# WATER WAVE
🌋	0x0971	U+1F30B	# VOLCANO
🌌	0x0972	U+1F30C	# MILKY WAY
🌍	0x0973	U+1F30D	# EARTH GLOBE EUROPE-AFRICA
🌎	0x0974	U+1F30E	# EARTH GLOBE AMERICAS
🌏	0x0975	U+1F30F	# EARTH GLOBE ASIA-AUSTRALIA
🌐	0x0976	U+1F310	# GLOBE WITH MERIDIANS
🌙	0x0977	U+1F319	# CRESCENT MOON
🌚	0x0978	U+1F31A	# NEW MOON WITH FACE
🌛	0x0979	U+1F31B	# FIRST QUARTER MOON WITH FACE
🌜	0x097a	U+1F31C	# LAST QUARTER MOON WITH FACE
🌝	0x097b	U+1F31D	# FULL MOON WITH FACE
🌞	0x097c	U+1F31E	# SUN WITH FACE
🌟	0x097d	U+1F31F	# GLOWING STAR
🌠	0x097e	U+1F320	# SHOOTING STAR
🌡	0x097f	U+1F321	# THERMOMETER
🌤	0x0980	U+1F324	# WHITE SUN WITH SMALL CLOUD
🌥	0x0981	U+1F325	# WHITE SUN BEHIND CLOUD
🌦	0x0982	U+1F326	# WHITE SUN BEHIND CLOUD WITH RAIN
🌧	0x0983	U+1F327	# CLOUD WITH RAIN
🌨	0x0984	U+1F328	# CLOUD WITH SNOW
🌩	0x0985	U+1F329	# CLOUD WITH LIGHTNING
🌪	0x0986	U+1F32A	# CLOUD WITH TORNADO
🌫	0x0987	U+1F32B	# FOG
🌬	0x0988	U+1F32C	# WIND BLOWING FACE
🌭	0x0989	U+1F32D	# HOT DOG
🌮	0x098a	U+1F32E	# TACO
🌯	0x098b	U+1F32F	# BURRITO
🌰	0x098c	U+1F330	# CHESTNUT
🌱	0x098d	U+1F331	# SEEDLING
🌲	0x098e	U+1F332	# EVERGREEN TREE
🌳	0x098f	U+1F333	# DECIDUOUS TREE
